approach,query,processing_time,exact_match,slot_accuracy,errors,predicted,expected
RuleBased_Baseline,Нужен 1 спутник на высокой эллиптической орбите для покрытия южная америка.,4.76837158203125e-06,False,0.0,Missing:orbitType; Missing:coverage; Missing:number,{},"{""orbitType"": ""HEO"", ""coverage"": ""Южная Америка"", ""altitude"": """", ""mass"": """", ""status"": """", ""formFactor"": """", ""number"": ""1""}"
RuleBased_Baseline,"Мне нужен 1 спутник с форм-фактором 12u, массой 21 кг для арктический региона.",2.1457672119140625e-06,False,0.0,Missing:coverage; Missing:mass; Missing:formFactor; Missing:number,{},"{""orbitType"": """", ""coverage"": ""Арктика"", ""altitude"": """", ""mass"": ""21"", ""status"": """", ""formFactor"": ""12U"", ""number"": ""1""}"
RuleBased_Baseline,Существуют ли 1 спутник с массой более 9 кг и статусом работающий?,1.9073486328125e-06,False,0.0,Missing:mass; Missing:status; Missing:number,{},"{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""9"", ""status"": ""активен"", ""formFactor"": """", ""number"": ""1""}"
RuleBased_Baseline,Какой вышедший 1 спутник с форм-фактором 1u можно использовать для северный полюса на орбите молния?,1.9073486328125e-06,False,0.0,Missing:orbitType; Missing:coverage; Missing:status; Missing:formFactor; Missing:number,{},"{""orbitType"": ""Molniya"", ""coverage"": ""Арктика"", ""altitude"": """", ""mass"": """", ""status"": ""неактивен"", ""formFactor"": ""1U"", ""number"": ""1""}"
RuleBased_Baseline,Ищи 1 спутник с массой 35 кг и статусом работающий.,1.430511474609375e-06,False,0.0,Missing:mass; Missing:status; Missing:number,{},"{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""35"", ""status"": ""активен"", ""formFactor"": """", ""number"": ""1""}"
RuleBased_Baseline,Ищи вышедший 1 спутник на средней околоземной орбите для россии.,1.430511474609375e-06,False,0.0,Missing:orbitType; Missing:coverage; Missing:status; Missing:number,{},"{""orbitType"": ""MEO"", ""coverage"": ""Россия"", ""altitude"": """", ""mass"": """", ""status"": ""неактивен"", ""formFactor"": """", ""number"": ""1""}"
RuleBased_Baseline,Какие есть 6 спутники с форм-фактором кубсат 3u для южная америки?,1.1920928955078125e-06,False,0.0,Missing:coverage; Missing:formFactor; Missing:number,{},"{""orbitType"": """", ""coverage"": ""Южная Америка"", ""altitude"": """", ""mass"": """", ""status"": """", ""formFactor"": ""3U"", ""number"": ""6""}"
RuleBased_Baseline,Выведи 1 спутник с массой 22 кг и статусом вышедший.,1.1920928955078125e-06,False,0.0,Missing:mass; Missing:status; Missing:number,{},"{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""22"", ""status"": ""неактивен"", ""formFactor"": """", ""number"": ""1""}"
RuleBased_Baseline,Дай 1 спутник для мониторинга арктика с высоты высота 500-800 км.,1.430511474609375e-06,False,0.0,Missing:coverage; Missing:number,{},"{""orbitType"": """", ""coverage"": ""Арктика"", ""altitude"": ""500-800 км"", ""mass"": """", ""status"": """", ""formFactor"": """", ""number"": ""1""}"
RuleBased_Baseline,Найди 1 спутник для мониторинга россия с высоты ~36000 км.,1.430511474609375e-06,False,0.0,Missing:coverage; Missing:number,{},"{""orbitType"": """", ""coverage"": ""Россия"", ""altitude"": ""~36000 км"", ""mass"": """", ""status"": """", ""formFactor"": """", ""number"": ""1""}"
