prompt,gt_json,predicted_json,error_category,details
Требуется 9 спутники для китайский региона нанагеостационарной орбите.,"{""orbitType"": ""GEO"", ""coverage"": ""Китай"", ""altitude"": """", ""mass"": """", ""status"": """", ""formFactor"": """", ""number"": ""9""}",{},Syntax,JSON Syntax Error / Empty
Дай активные 2 спутник на геостационарной орбите для российский региона.,"{""orbitType"": ""GEO"", ""coverage"": ""Россия"", ""altitude"": """", ""mass"": """", ""status"": ""активен"", ""formFactor"": """", ""number"": ""2""}",{},Syntax,JSON Syntax Error / Empty
Предложи 9 спутники с массой 28 кг и статусом активные.,"{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""28"", ""status"": ""активен"", ""formFactor"": """", ""number"": ""9""}","{""mass"": ""28"", ""status"": ""активен"", ""coverage"": """", ""altitude"": """", ""formFactor"": """", ""scale"": """", ""orbitType"": """", ""tleDate"": """", ""number"": ""9""}",No Error,
Покажи 1 спутник с массой 45 кг и статусом неактивный.,"{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""45"", ""status"": ""активен"", ""formFactor"": """", ""number"": ""1""}","{""coverage"": """", ""altitude"": """", ""orbitType"": """", ""status"": ""активен"", ""formFactor"": """", ""mass"": ""45"", ""scale"": """", ""tleDate"": """", ""number"": ""1""}",No Error,
Ищи 1 спутник с массой 23 кг и статусом активный.,"{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""23"", ""status"": ""активен"", ""formFactor"": """", ""number"": ""1""}","{""mass"": ""23"", ""status"": ""активен"", ""coverage"": """", ""altitude"": """", ""formFactor"": """", ""scale"": """", ""orbitType"": """", ""tleDate"": """", ""number"": ""1""}",No Error,
Какие есть 9 спутники с форм-фактором 3u для территория кнр?,"{""orbitType"": """", ""coverage"": ""Китай"", ""altitude"": """", ""mass"": """", ""status"": """", ""formFactor"": ""3U"", ""number"": ""9""}",{},Syntax,JSON Syntax Error / Empty
Предложи 10 спутники с массой 49 кг и статусом неработающие.,"{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""49"", ""status"": ""активен"", ""formFactor"": """", ""number"": ""10""}","{""mass"": ""49"", ""status"": ""активен"", ""coverage"": """", ""altitude"": """", ""formFactor"": """", ""scale"": """", ""orbitType"": """", ""tleDate"": """", ""number"": ""10""}",No Error,
Предложи 1 спутник с массой 45 кг и статусом в.,"{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""45"", ""status"": ""активен"", ""formFactor"": """", ""number"": ""1""}",{},Syntax,JSON Syntax Error / Empty
Существуют ли 9 спутники с массой более 6 кг и статусом функционирующие?,"{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""6"", ""status"": ""активен"", ""formFactor"": """", ""number"": ""9""}",{},Syntax,JSON Syntax Error / Empty
Какой вышедший 1 спутник с форм-фактором 6u можно использовать для китайский региона нанасредней околоземной орбите?,"{""orbitType"": ""MEO"", ""coverage"": ""Китай"", ""altitude"": """", ""mass"": """", ""status"": ""активен"", ""formFactor"": ""6U"", ""number"": ""1""}",{},Syntax,JSON Syntax Error / Empty
