prompt,gt_json,predicted_json,error_category,details,rewritten_query
Требуется 9 спутники для китайский региона нанагеостационарной орбите.,"{""orbitType"": ""GEO"", ""coverage"": ""Китай"", ""altitude"": """", ""mass"": """", ""status"": """", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""9""}","{""orbitType"": ""GEO"", ""coverage"": ""Китай"", ""altitude"": """", ""mass"": """", ""status"": """", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""9""}",No Error,,Требуется 9 спутников на нанагеостационарной орбите для обеспечения покрытия китайского региона.
Дай активные 2 спутник на геостационарной орбите для российский региона.,"{""orbitType"": ""GEO"", ""coverage"": ""Россия"", ""altitude"": """", ""mass"": """", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""2""}","{""orbitType"": ""GEO"", ""coverage"": ""Россия"", ""altitude"": """", ""mass"": """", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""2""}",No Error,,"Ищу активные спутники на геостационарной орбите, предназначенные для покрытия территории России, с массой и статусом, соответствующими требованиям."
Предложи 9 спутники с массой 28 кг и статусом активные.,"{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""28"", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""9""}","{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""28 кг"", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""9""}",Wrong,Wrong Value (mass: got '28 кг' exp '28'),"1. Lemur-2 - 28 кг, активный
2. Dove - 28 кг, активный
3. Flock-1 - 28 кг, активный
4. Planet Labs - 28 кг, активный
5. Lemur-2 (другой экземпляр) - 28 кг, активный
6. Dove (другой экземпляр) - 28 кг, активный
7. Flock-1 (другой экземпляр) - 28 кг, активный
8. Planet Labs (другой экземпляр) - 28 кг, активный
9. Lemur-2 (тр"
Покажи 1 спутник с массой 45 кг и статусом неактивный.,"{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""45"", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""1""}","{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""45"", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""1""}",No Error,,Спутник с массой 45 кг и статусом неактивный.
Ищи 1 спутник с массой 23 кг и статусом активный.,"{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""23"", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""1""}","{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""23"", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""1""}",No Error,,Ищи 1 активный спутник массой 23 кг.
Какие есть 9 спутники с форм-фактором 3u для территория кнр?,"{""orbitType"": """", ""coverage"": ""Китай"", ""altitude"": """", ""mass"": """", ""status"": """", ""formFactor"": ""3U"", ""scale"": """", ""tleDate"": """", ""number"": ""9""}","{""orbitType"": """", ""coverage"": ""Китай"", ""altitude"": """", ""mass"": """", ""status"": """", ""formFactor"": ""3U"", ""scale"": """", ""tleDate"": """", ""number"": ""9""}",No Error,,"Для поиска спутников с форм-фактором 3U, предназначенных для территории КНР, следует учитывать следующие параметры: 
 - Орбита: Какая орбита необходима (например, низкая околоземная орбита, геостационарная орбита)? 
 - Масса: Какой диапазон массы допустим для спутников (поскольку форм-фактор 3U уже подразумевает определённые размеры и вес)? 
 - Статус: Ищутся действующие, запланированные или уже выведенные из эксплуатации спутники? 
 - Пок"
Предложи 10 спутники с массой 49 кг и статусом неработающие.,"{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""49"", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""10""}","{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""49 кг"", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""10""}",Wrong,Wrong Value (mass: got '49 кг' exp '49'),"Вот 10 спутников с массой 49 кг и статусом неработающие: 
1. Спутник ""Активный"" - орбита низкая, масса 49 кг, статус неработающий, покрытие глобальное.
2. Спутник ""Космос-1"" - орбита средняя, масса 49 кг, статус неработающий, покрытие региональное.
3. Спутник ""Экспресс-1"" - орбита геостационарная, масса 49 кг, статус неработающий, покрытие континентальное.
4. Спутник ""Метеор-1"""
Предложи 1 спутник с массой 45 кг и статусом в.,"{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""45"", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""1""}","{""orbitType"": ""LEO"", ""coverage"": """", ""altitude"": """", ""mass"": ""45"", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""1""}",Hallucination,Hallucination (orbitType: 'LEO'),"Спутник ""Фрегат"" с массой 45 кг и статусом ""в работе"" находится на низкой околоземной орбите."
Существуют ли 9 спутники с массой более 6 кг и статусом функционирующие?,"{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""6"", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""9""}","{""orbitType"": """", ""coverage"": """", ""altitude"": """", ""mass"": ""6"", ""status"": ""активен"", ""formFactor"": """", ""scale"": """", ""tleDate"": """", ""number"": ""9""}",No Error,,"Существуют ли 9 спутников с массой более 6 кг и статусом ""функционирующие""?"
Какой вышедший 1 спутник с форм-фактором 6u можно использовать для китайский региона нанасредней околоземной орбите?,"{""orbitType"": ""MEO"", ""coverage"": ""Китай"", ""altitude"": """", ""mass"": """", ""status"": ""активен"", ""formFactor"": ""6U"", ""scale"": """", ""tleDate"": """", ""number"": ""1""}","{""orbitType"": ""MEO"", ""coverage"": ""Китай"", ""altitude"": """", ""mass"": """", ""status"": ""неактивен"", ""formFactor"": ""6U"", ""scale"": """", ""tleDate"": """", ""number"": """"}",Missing,Missing Slot (number: exp '1'); Wrong Value (status: got 'неактивен' exp 'активен'),"Вы ищете спутник форм-фактора 6U, вышедший на среднюю околоземную орбиту, для покрытия китайского региона. Какова желаемая масса спутника и его текущий статус?"
